Embeddings,Weigths,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
W2V+FT,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V+UKB,,1,0.9895470383,1,1,1,1,1,1,1,1,1,1,0.9652777778,1,1,1,0.9734513274
W2V+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9783677483
FT+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.918879056
jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+W2V+FT,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9852507375
GLOVE+W2V+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+W2V+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
GLOVE+FT+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
GLOVE+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
W2V+FT+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
W2V+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
FT+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
GLOVE+W2V+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+FT+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
Mean. No mapping,,,,,,,,,,,,,,,,,,
GLOVE+W2V,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
GLOVE+FT,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
GLOVE+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
W2V+FT,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V+UKB,,1,0.9895470383,1,1,1,1,1,1,1,1,1,1,0.9652777778,1,1,1,0.9734513274
W2V+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9783677483
FT+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.918879056
jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+W2V+FT,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9852507375
GLOVE+W2V+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+W2V+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
GLOVE+FT+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
GLOVE+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
W2V+FT+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
W2V+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
FT+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
GLOVE+W2V+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+FT+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB+UKB,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB+UKB+LEXVEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
